epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.962,0.7807,1.4966,1.29987,0.30738,0.41523,0.23993,0.08915,2.07828,3.15907,2.75897,0.000552727,0.000552727,0.000552727
2,303.197,0.89954,1.30167,1.38044,0.40143,0.65149,0.46696,0.27078,1.29563,1.80792,2.1082,0.00109742,0.00109742,0.00109742
3,459.189,0.84161,1.18478,1.33116,0.54837,0.60981,0.54847,0.28589,1.4395,1.7139,2.31892,0.00163111,0.00163111,0.00163111
4,612.154,0.77806,1.10939,1.28501,0.64597,0.65945,0.64182,0.41629,1.0608,1.28658,1.76177,0.00161749,0.00161749,0.00161749
5,763.612,0.71119,1.05483,1.23958,0.654,0.70118,0.70248,0.49657,0.8936,1.19545,1.5538,0.00160099,0.00160099,0.00160099
6,923.535,0.67348,0.98783,1.20746,0.58923,0.7228,0.70761,0.49874,0.89277,1.21819,1.55527,0.00158448,0.00158448,0.00158448
7,1087.13,0.6378,0.9675,1.18372,0.67321,0.70049,0.69884,0.4764,0.92794,1.12502,1.49179,0.00156798,0.00156798,0.00156798
8,1244.46,0.61177,0.92397,1.1712,0.5788,0.60958,0.61877,0.40026,1.13871,1.46273,1.82184,0.00155148,0.00155148,0.00155148
9,1398.07,0.59464,0.9075,1.16226,0.69635,0.7478,0.76131,0.5518,0.85454,0.95295,1.50412,0.00153497,0.00153497,0.00153497
10,1556.55,0.58051,0.89383,1.15074,0.77251,0.7333,0.80295,0.59672,0.85741,0.90291,1.46465,0.00151847,0.00151847,0.00151847
11,1723.68,0.55974,0.86274,1.12931,0.68926,0.76893,0.76993,0.57465,0.82388,0.96977,1.53391,0.00150197,0.00150197,0.00150197
12,1876.69,0.54909,0.83656,1.12613,0.72695,0.71587,0.76929,0.58719,0.79101,0.90644,1.43833,0.00148546,0.00148546,0.00148546
13,2031.57,0.53349,0.81378,1.10633,0.67887,0.68184,0.72265,0.51233,0.96034,1.07747,1.59663,0.00146896,0.00146896,0.00146896
14,2182.15,0.53288,0.80833,1.10735,0.70469,0.75215,0.79048,0.56756,0.88239,0.9033,1.48532,0.00145246,0.00145246,0.00145246
15,2339.24,0.53534,0.80199,1.10843,0.73453,0.81344,0.82549,0.61746,0.79795,0.82283,1.43139,0.00143595,0.00143595,0.00143595
16,2513.83,0.50858,0.78632,1.09275,0.67414,0.70174,0.74061,0.52401,0.92067,1.01624,1.55878,0.00141945,0.00141945,0.00141945
17,2670.28,0.51455,0.77325,1.09836,0.74882,0.75681,0.77215,0.56166,0.86355,0.93653,1.52167,0.00140295,0.00140295,0.00140295
18,2822.74,0.48673,0.76562,1.07863,0.73899,0.66054,0.7446,0.54909,0.90548,1.03852,1.56174,0.00138644,0.00138644,0.00138644
19,2976.46,0.49255,0.74855,1.07861,0.76705,0.78679,0.82254,0.61677,0.7673,0.82475,1.45673,0.00136994,0.00136994,0.00136994
20,3127.98,0.48605,0.73744,1.07786,0.76746,0.82541,0.84942,0.66044,0.73879,0.73208,1.35634,0.00135344,0.00135344,0.00135344
21,3304.92,0.48733,0.75954,1.08451,0.66443,0.74811,0.78411,0.5848,0.83767,0.92251,1.42317,0.00133693,0.00133693,0.00133693
22,3462.59,0.48362,0.74048,1.07178,0.78249,0.81914,0.86176,0.68701,0.72178,0.71241,1.35839,0.00132043,0.00132043,0.00132043
