epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.71,0.68511,1.35525,1.22597,0.00475,0.16145,0.00112,0.00031,2.6816,792.893,3.96291,0.000552727,0.000552727,0.000552727
2,227.826,0.79744,1.1975,1.30207,0.38423,0.62463,0.41336,0.24429,1.31656,2.09882,2.0476,0.00109742,0.00109742,0.00109742
3,342.055,0.79508,1.12953,1.29639,0.63534,0.57812,0.59176,0.37245,1.26175,1.45202,2.05057,0.00163111,0.00163111,0.00163111
4,456.565,0.73394,1.0465,1.24896,0.55368,0.65575,0.58993,0.37525,1.16866,1.35301,1.88136,0.00161749,0.00161749,0.00161749
5,572.609,0.68419,0.99259,1.21336,0.69516,0.72052,0.72201,0.48531,1.01556,1.05345,1.64201,0.00160099,0.00160099,0.00160099
6,686.769,0.64588,0.93287,1.18194,0.46582,0.66707,0.53583,0.35987,1.08735,1.74506,1.8821,0.00158448,0.00158448,0.00158448
7,799.6,0.60705,0.90629,1.15674,0.60838,0.71293,0.69966,0.50082,1.02541,1.13612,1.77011,0.00156798,0.00156798,0.00156798
8,913.737,0.59402,0.87033,1.15127,0.75508,0.7264,0.77519,0.56156,0.90278,0.95914,1.56315,0.00155148,0.00155148,0.00155148
9,1029.96,0.57086,0.86174,1.13768,0.75894,0.73006,0.76198,0.5437,0.9554,1.01884,1.67976,0.00153497,0.00153497,0.00153497
10,1145.54,0.57074,0.85817,1.14591,0.71642,0.70861,0.7616,0.55105,0.85496,0.92773,1.47839,0.00151847,0.00151847,0.00151847
11,1260.47,0.54164,0.81919,1.11286,0.74988,0.73847,0.78682,0.56848,0.86353,1.0003,1.46799,0.00150197,0.00150197,0.00150197
12,1374.79,0.52997,0.78938,1.11051,0.56735,0.76319,0.68373,0.49341,0.95532,1.1854,1.62963,0.00148546,0.00148546,0.00148546
13,1487.32,0.51899,0.77558,1.08893,0.78376,0.77601,0.84684,0.63197,0.80201,0.79044,1.39359,0.00146896,0.00146896,0.00146896
14,1602.7,0.51886,0.76137,1.09553,0.64159,0.7021,0.70064,0.51713,0.91096,1.08003,1.54289,0.00145246,0.00145246,0.00145246
15,1715.56,0.5078,0.75966,1.09122,0.77609,0.79879,0.82805,0.61889,0.8292,0.79638,1.49546,0.00143595,0.00143595,0.00143595
16,1828.22,0.48126,0.71886,1.07388,0.77162,0.83983,0.84746,0.65554,0.77526,0.73497,1.42906,0.00141945,0.00141945,0.00141945
17,1944.11,0.48634,0.7148,1.07651,0.60798,0.7732,0.67892,0.48848,0.87022,1.23704,1.46745,0.00140295,0.00140295,0.00140295
18,2060.64,0.46929,0.71619,1.06355,0.81926,0.75376,0.83507,0.63587,0.80932,0.80719,1.44632,0.00138644,0.00138644,0.00138644
19,2173.52,0.46183,0.68863,1.05353,0.84098,0.76487,0.87711,0.67378,0.729,0.70849,1.33869,0.00136994,0.00136994,0.00136994
20,2287.12,0.46098,0.67884,1.0598,0.86314,0.80148,0.87825,0.69646,0.71266,0.67839,1.33236,0.00135344,0.00135344,0.00135344
21,2403.95,0.46114,0.69373,1.06165,0.84263,0.79627,0.85623,0.6699,0.7364,0.74498,1.37007,0.00133693,0.00133693,0.00133693
22,2518.95,0.47703,0.68758,1.06665,0.79969,0.8265,0.88979,0.67806,0.72511,0.69449,1.34565,0.00132043,0.00132043,0.00132043
23,2632,0.44473,0.66415,1.05191,0.72255,0.79768,0.81862,0.61153,0.80524,0.8407,1.40468,0.00130393,0.00130393,0.00130393
24,2745.17,0.44207,0.65064,1.04625,0.78506,0.79745,0.82948,0.62064,0.80664,0.79631,1.44353,0.00128742,0.00128742,0.00128742
25,2860.66,0.44428,0.64558,1.04298,0.82542,0.85189,0.89857,0.70274,0.69261,0.6618,1.30619,0.00127092,0.00127092,0.00127092
26,2976.66,0.4385,0.62768,1.03836,0.82844,0.81348,0.88568,0.70729,0.66893,0.66801,1.26702,0.00125442,0.00125442,0.00125442
27,3090.52,0.42504,0.6281,1.03618,0.77982,0.74586,0.82736,0.6431,0.75921,0.786,1.4259,0.00123791,0.00123791,0.00123791
28,3203.11,0.41821,0.60627,1.03258,0.83965,0.84246,0.87873,0.69536,0.70592,0.6721,1.35416,0.00122141,0.00122141,0.00122141
29,3316.04,0.41171,0.60606,1.02845,0.81774,0.86945,0.89317,0.70712,0.68073,0.63361,1.28274,0.00120491,0.00120491,0.00120491
30,3428.42,0.42022,0.60364,1.0303,0.81456,0.8517,0.89246,0.70094,0.70664,0.67485,1.30572,0.0011884,0.0011884,0.0011884
31,3545.51,0.41215,0.59503,1.02327,0.8163,0.8139,0.87425,0.66812,0.73034,0.68959,1.33052,0.0011719,0.0011719,0.0011719
