epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5466,0.68711,1.38397,1.21697,0.54826,0.56291,0.58868,0.37477,1.21898,1.53525,2.13031,0.000552727,0.000552727,0.000552727
2,114.995,0.7416,1.09719,1.24845,0.55907,0.57139,0.55652,0.32172,1.39911,1.61628,2.13899,0.00109742,0.00109742,0.00109742
3,171.865,0.74304,1.05547,1.25193,0.54934,0.59405,0.5861,0.36553,1.21828,1.42934,1.91792,0.00163111,0.00163111,0.00163111
4,227.981,0.71456,1.01271,1.23248,0.65185,0.77062,0.74921,0.51957,0.92353,1.06509,1.60955,0.00161749,0.00161749,0.00161749
5,285.302,0.67889,0.96967,1.20245,0.68725,0.72101,0.7291,0.50098,0.99477,1.08906,1.68411,0.00160099,0.00160099,0.00160099
6,341.982,0.62457,0.90708,1.16073,0.6623,0.66955,0.69523,0.45664,1.09705,1.18128,1.79825,0.00158448,0.00158448,0.00158448
7,397.767,0.59561,0.89007,1.14616,0.68003,0.70684,0.77759,0.5589,0.90577,1.01913,1.53389,0.00156798,0.00156798,0.00156798
8,455.485,0.57796,0.84471,1.14061,0.77096,0.79481,0.82595,0.61518,0.82267,0.83085,1.43394,0.00155148,0.00155148,0.00155148
9,513.623,0.55726,0.82382,1.12587,0.73288,0.82315,0.84307,0.61314,0.8266,0.8487,1.47939,0.00153497,0.00153497,0.00153497
10,570.098,0.55845,0.82661,1.12275,0.45623,0.66284,0.57275,0.36087,1.10073,1.5124,1.83632,0.00151847,0.00151847,0.00151847
11,625.906,0.53611,0.77877,1.10109,0.65534,0.81467,0.78436,0.59697,0.83711,0.93914,1.52072,0.00150197,0.00150197,0.00150197
12,682.969,0.52718,0.77317,1.1051,0.73715,0.75975,0.78438,0.57367,0.84964,0.86598,1.4206,0.00148546,0.00148546,0.00148546
13,739.75,0.50962,0.73507,1.07932,0.74343,0.76045,0.81863,0.60097,0.80116,0.83775,1.40205,0.00146896,0.00146896,0.00146896
14,795.919,0.51532,0.73188,1.08829,0.72337,0.78848,0.84196,0.61694,0.8449,0.87864,1.41426,0.00145246,0.00145246,0.00145246
15,854.099,0.51395,0.72799,1.08867,0.79138,0.78891,0.84524,0.64019,0.80833,0.73646,1.46599,0.00143595,0.00143595,0.00143595
16,912.037,0.48356,0.70335,1.06768,0.79113,0.80222,0.83603,0.60958,0.86655,0.83091,1.51565,0.00141945,0.00141945,0.00141945
17,968.843,0.47864,0.67634,1.06522,0.82299,0.8003,0.85419,0.64601,0.79216,0.74081,1.39774,0.00140295,0.00140295,0.00140295
18,1028.24,0.46871,0.68661,1.05702,0.83258,0.82976,0.88426,0.68589,0.76326,0.69778,1.36731,0.00138644,0.00138644,0.00138644
19,1088.72,0.46011,0.64469,1.0503,0.79954,0.84297,0.86631,0.66989,0.7749,0.72641,1.38178,0.00136994,0.00136994,0.00136994
20,1148.29,0.46476,0.64811,1.05659,0.74817,0.83613,0.86757,0.67998,0.74369,0.70932,1.34158,0.00135344,0.00135344,0.00135344
21,1205.12,0.45794,0.66162,1.05778,0.74696,0.82258,0.84936,0.67311,0.75056,0.76591,1.34963,0.00133693,0.00133693,0.00133693
22,1261.84,0.46897,0.63444,1.05863,0.85367,0.79765,0.89394,0.71722,0.69197,0.67016,1.28525,0.00132043,0.00132043,0.00132043
23,1323.49,0.44289,0.62299,1.04593,0.76002,0.8406,0.8549,0.67584,0.73365,0.7398,1.28724,0.00130393,0.00130393,0.00130393
24,1382.52,0.44374,0.63577,1.04124,0.83379,0.87628,0.89435,0.70276,0.71901,0.65829,1.30595,0.00128742,0.00128742,0.00128742
